target,Id
0,249
1,250
0,251
1,252
1,253
0,254
0,255
1,256
1,257
1,258
1,259
0,260
1,261
1,262
0,263
0,264
0,265
0,266
0,267
1,268
0,269
0,270
0,271
1,272
0,273
0,274
1,275
0,276
1,277
1,278
0,279
0,280
0,281
1,282
0,283
1,284
0,285
0,286
0,287
0,288
0,289
1,290
1,291
0,292
1,293
1,294
0,295
0,296
0,297
0,298
0,299
1,300
0,301
1,302
1,303
0,304
1,305
0,306
0,307
0,308
0,309
1,310
0,311
0,312
0,313
0,314
0,315
1,316
0,317
1,318
0,319
0,320
0,321
1,322
1,323
1,324
1,325
0,326
0,327
0,328
0,329
1,330
0,331
1,332
0,333
0,334
1,335
0,336
1,337
0,338
0,339
1,340
1,341
0,342
0,343
1,344
1,345
0,346
1,347
0,348
0,349
0,350
0,351
1,352
1,353
1,354
0,355
0,356
1,357
1,358
0,359
0,360
0,361
1,362
0,363
1,364
1,365
1,366
0,367
1,368
1,369
1,370
1,371
0,372
0,373
0,374
0,375
0,376
0,377
0,378
1,379
1,380
0,381
0,382
1,383
0,384
0,385
0,386
0,387
1,388
0,389
0,390
0,391
0,392
0,393
1,394
0,395
0,396
0,397
0,398
0,399
0,400
0,401
1,402
1,403
1,404
0,405
1,406
1,407
1,408
1,409
1,410
1,411
0,412
1,413
0,414
1,415
1,416
0,417
0,418
0,419
0,420
1,421
1,422
0,423
0,424
0,425
1,426
1,427
0,428
1,429
0,430
1,431
1,432
0,433
0,434
0,435
1,436
1,437
0,438
0,439
0,440
1,441
1,442
0,443
0,444
0,445
0,446
0,447
1,448
0,449
0,450
1,451
0,452
1,453
0,454
0,455
0,456
1,457
1,458
1,459
0,460
0,461
1,462
1,463
0,464
1,465
1,466
1,467
1,468
0,469
0,470
0,471
0,472
0,473
0,474
1,475
0,476
0,477
1,478
1,479
1,480
1,481
0,482
1,483
0,484
0,485
0,486
0,487
0,488
1,489
0,490
0,491
0,492
0,493
0,494
0,495
1,496
0,497
0,498
0,499
0,500
1,501
0,502
0,503
1,504
1,505
0,506
0,507
1,508
1,509
0,510
0,511
0,512
0,513
0,514
0,515
0,516
0,517
1,518
0,519
1,520
0,521
1,522
0,523
0,524
0,525
1,526
0,527
1,528
0,529
1,530
0,531
1,532
0,533
0,534
0,535
0,536
0,537
1,538
0,539
1,540
0,541
1,542
1,543
0,544
1,545
0,546
0,547
0,548
1,549
0,550
1,551
0,552
1,553
0,554
0,555
1,556
0,557
0,558
1,559
1,560
1,561
1,562
1,563
1,564
1,565
0,566
0,567
0,568
0,569
0,570
1,571
1,572
1,573
1,574
0,575
1,576
0,577
1,578
0,579
0,580
0,581
1,582
1,583
0,584
1,585
0,586
0,587
0,588
0,589
0,590
0,591
0,592
1,593
1,594
0,595
0,596
0,597
1,598
0,599
0,600
1,601
0,602
0,603
1,604
1,605
0,606
0,607
0,608
0,609
0,610
1,611
0,612
0,613
1,614
1,615
0,616
0,617
1,618
0,619
0,620
0,621
1,622
0,623
0,624
0,625
1,626
0,627
1,628
1,629
0,630
1,631
1,632
0,633
0,634
0,635
0,636
0,637
0,638
0,639
1,640
0,641
1,642
0,643
0,644
1,645
0,646
0,647
0,648
1,649
1,650
1,651
0,652
0,653
0,654
0,655
1,656
0,657
0,658
0,659
1,660
0,661
0,662
1,663
0,664
0,665
0,666
0,667
0,668
0,669
0,670
0,671
1,672
1,673
0,674
1,675
1,676
0,677
0,678
1,679
0,680
0,681
0,682
1,683
0,684
1,685
0,686
1,687
0,688
1,689
0,690
1,691
0,692
0,693
1,694
0,695
1,696
0,697
1,698
1,699
0,700
1,701
0,702
0,703
0,704
0,705
0,706
0,707
0,708
0,709
0,710
0,711
1,712
1,713
0,714
0,715
1,716
1,717
1,718
1,719
0,720
1,721
0,722
0,723
0,724
1,725
1,726
0,727
1,728
0,729
0,730
1,731
1,732
0,733
0,734
0,735
1,736
0,737
0,738
1,739
1,740
1,741
0,742
1,743
0,744
0,745
0,746
0,747
1,748
1,749
0,750
1,751
0,752
0,753
1,754
0,755
0,756
0,757
1,758
1,759
1,760
0,761
1,762
0,763
0,764
0,765
1,766
1,767
0,768
0,769
0,770
1,771
1,772
0,773
1,774
1,775
1,776
0,777
0,778
0,779
0,780
1,781
1,782
0,783
1,784
1,785
1,786
0,787
1,788
0,789
0,790
0,791
0,792
1,793
0,794
0,795
0,796
0,797
0,798
1,799
1,800
1,801
0,802
0,803
1,804
1,805
1,806
0,807
0,808
0,809
0,810
1,811
0,812
1,813
1,814
0,815
1,816
0,817
1,818
0,819
0,820
1,821
0,822
0,823
0,824
1,825
0,826
0,827
0,828
1,829
0,830
0,831
0,832
0,833
1,834
0,835
1,836
1,837
1,838
0,839
0,840
0,841
1,842
1,843
0,844
1,845
0,846
1,847
1,848
0,849
0,850
1,851
0,852
1,853
1,854
0,855
1,856
1,857
0,858
0,859
0,860
0,861
0,862
1,863
1,864
0,865
0,866
0,867
0,868
1,869
0,870
0,871
1,872
1,873
1,874
0,875
1,876
0,877
1,878
0,879
0,880
0,881
0,882
0,883
0,884
1,885
0,886
0,887
0,888
1,889
1,890
1,891
1,892
0,893
0,894
1,895
1,896
0,897
0,898
1,899
1,900
1,901
1,902
1,903
1,904
0,905
0,906
1,907
0,908
0,909
1,910
0,911
0,912
0,913
1,914
0,915
0,916
1,917
0,918
0,919
0,920
0,921
0,922
1,923
1,924
0,925
1,926
0,927
0,928
0,929
1,930
0,931
1,932
1,933
0,934
0,935
0,936
0,937
1,938
1,939
1,940
0,941
0,942
0,943
1,944
1,945
0,946
1,947
0,948
1,949
0,950
1,951
0,952
0,953
0,954
0,955
1,956
0,957
0,958
1,959
0,960
1,961
0,962
1,963
1,964
0,965
0,966
0,967
0,968
0,969
0,970
0,971
0,972
0,973
0,974
0,975
0,976
1,977
1,978
1,979
1,980
1,981
1,982
0,983
0,984
1,985
0,986
0,987
0,988
0,989
1,990
0,991
1,992
1,993
0,994
0,995
1,996
0,997
0,998
1,999
